max,min
3458.543,2525.9656
1155.4708,625.8276
887.55597,537.1913
691.36163,447.70947
656.41956,494.5877
646.01666,420.24863
617.39594,344.89694
581.168,340.2572
552.403,473.12744
525.7898,290.02972
452.67197,364.43152
429.8727,244.64812
416.38657,326.84677
393.49664,309.5999
383.94174,285.04086
381.5024,298.5568
374.83273,262.61835
323.18793,189.10042
307.80453,218.52637
306.48117,208.98929
297.67426,252.70056
291.964,201.88275
278.2557,166.27048
278.14716,222.29459
254.5705,177.17772
212.74687,161.37642
205.73572,178.09995
205.10492,145.53932
200.5373,170.5997
190.2868,163.74698
182.13156,149.811
178.05971,140.02303
177.86462,115.11566
174.19872,93.093544
172.99658,149.67387
172.60219,133.73454
172.09702,124.58332
171.32915,110.57821
169.68546,146.49255
160.78389,129.15186
158.19011,107.28485
157.32309,142.0144
151.84851,118.8914
141.91003,111.7082
123.29902,90.85325
116.07477,102.6431
109.88776,96.28544
109.142395,94.58518
108.28584,81.64503
106.641266,89.52176
63.14882,52.631084
60.07701,48.175186
57.679985,47.02226
56.83388,47.98497
46.848316,28.804455
46.233692,38.659313
41.34633,32.830788
34.551662,26.199358
32.421833,22.971317
